timestamp,current_ma_left,current_ma_right,pwm_left,pwm_right,wheels_enabled
1741365213645488210,0,0,0,0,True
1741365213711358122,0,0,0,0,True
1741365213743070596,0,0,0,0,True
1741365213771953368,0,0,0,0,True
1741365213805743735,0,0,0,0,True
1741365213836153700,0,0,0,0,True
1741365213866738034,0,0,0,0,True
1741365213900895472,0,0,0,0,True
1741365213932311855,0,0,0,0,True
1741365213963142965,0,0,0,0,True
1741365213996119004,0,0,0,0,True
1741365214030508515,0,0,0,0,True
1741365214058522201,0,0,0,0,True
1741365214094840845,0,0,0,0,True
1741365214123250936,0,0,0,0,True
1741365214156756712,0,0,0,0,True
1741365214190935316,0,0,0,0,True
1741365214218928262,0,0,0,0,True
1741365214254558800,0,0,0,0,True
1741365214283668978,0,0,0,0,True
1741365214316712720,0,0,0,0,True
1741365214350189756,0,0,0,0,True
1741365214393892699,0,0,0,0,True
1741365214414433309,0,0,0,0,True
1741365214446554002,0,0,0,0,True
1741365214475190665,0,0,0,0,True
1741365214509306011,0,0,0,0,True
1741365214539726143,0,0,0,0,True
1741365214572931458,0,0,0,0,True
1741365214605350593,0,0,0,0,True
1741365214635419505,0,0,0,0,True
1741365214668241860,0,0,0,0,True
1741365214702465224,0,0,0,0,True
1741365214733200520,0,0,0,0,True
1741365214763528004,0,0,0,0,True
1741365214796564931,0,0,0,0,True
1741365214828084259,0,0,0,0,True
1741365214863824685,0,0,0,0,True
1741365214893918560,0,0,0,0,True
1741365214923667030,0,0,0,0,True
1741365214957648709,0,0,0,0,True
1741365214988880465,0,0,0,0,True
1741365215019827796,0,0,0,0,True
1741365215055555389,0,0,0,0,True
1741365215083602686,0,0,0,0,True
1741365215278061593,0,0,0,0,True
1741365215309961029,0,0,591,591,True
1741365215340212273,188,141,5950,5949,True
1741365215372565928,251,207,9763,10095,True
1741365215405911964,238,225,12928,12046,True
1741365215436559020,203,232,12636,14834,True
1741365215468350993,176,243,16190,16295,True
1741365215500683667,250,203,17208,17666,True
1741365215531721720,222,222,20232,19740,True
1741365215563968449,152,221,22114,21583,True
1741365215596161994,178,219,24266,23437,True
